en,hi
I,मैं
I,मुझे
I,मुझको
we,हम
we,हमें
you,तुम
you,तू
you,तुम्हें
you,तुझको
you,तुझे
you,तुमको
you,आप
you,आपको
you,आपसे
he,वह
she,वह
they,वे
they,वो
they,उन्हें
they,उनको
it,यह
it,इसे
he,इन्हें
she,इन्हें
he,उन्हें
she,उन्हें
she,इसे
he,इसे
he,उसे
she,उसे
he,इसको
he,उसको
we,हमसे
you,तुमसे
she,उसको
they,इन्हें
they,इनको
it,इसको
we,हमको
they,उनसे
they,इनसे
I,मेर्
I,अपन्
we,हमार्
you,तुम्हार्
you,तेर्
you,अपने
you,आपक्
he,उसक्
she,उसक्
he,उनकी
she,उनकी
he,उनके
she,उनके
he,इनकी
she,इनकी
he,अपने
she,अपने
he,अपन्
she,अपन्
they,इनक्
it,इसक्
they,उनक्
they,उनके
he,इनके
they,इनके
I,मेरा
we,हमारा
we,अपन्
I,स्वयं
I,खुद
it,अपनेसे
it,स्वतः
it,स्वयं
this,यह
that,वह
those,वे
these,ये
those,वो
someone,कोई
somebody,कोई
both,दोनों
anybody,किसी
somebody,किसी
someone,किसी
somebody,किसी-किसी
someone,किसी-किसी
something,कुछ
anything,कुछ
enough,काफ़ी
everybody,प्रत्येक
evrything,सबकुछ
some,कुछ
few,कुछ
a few,कुछ
many,कइयों
little,थोड़ा
much,अधिक
a lot,अधिक
a lot,बहुत
plenty,बहुत
many,बहुत
many,बहुतों
many,ज्यादा
much,ज्यादा
one,one
who,कौन
what,क्या
whose,किसका
who,किसके
whose,किनका
who,किनके
whom,किसे
whom,किन्हें
who,किसने
whom,किस
if,यदि
if,अगर
whom,किसको
who,किसको
what,किस
which,किस
what,कितना
how,कितनी
how many,कितने
why,क्यों
where,कहाँ
where,किधर
how,कैस्
how much,कितन्
whether,क्या
if,क्या
and,और
then,फिर
and,तथा
and,एवं
too,भी
and,व
when,जब
where,जहाँ
as long as,जबतक
or,वा
or,या
or,चाहे
or,अथवा
that,कि
alias,ऊर्फ
but,लेकिन
but,मगर
but,किन्तु
but,परन्तु
but,वरन्
but,पर
but rather,बल्कि
otherwise,वरना
otherwise,अन्यथा
because,इसलिए
because,सो
because,अतः
so,अतएव
because,क्योंकि
which,जोकि
because,ताकि
so,जिससे
which,जो
then,तो
although,यद्यपि
nevertheless,तथापि
even if,चाहे
because,अर्थात
although,जो
that,मानो
that,याने
that,यानी
after,जब
oh,अरे!
what,क्या!
what,ऐं!
huh,हूँ!
oho,ओहो!
aha,आहा!
yes,हां!
wonderful,वाह!
really,सच!
hey,हैं!
wonderful,अह!
splendid,वाह्!
ah,अहा!
welldone,शाबाश!
blessing,धन्य!
blessing,जय!
